Weight,Height,BMI,Age,Gender,BMIcase,Exercise Recommendation Plan
92.0851902,1.760249514,29.71948799,59,Female,Obese,6
61.08912444,1.595498708,23.99777555,25,Female,Overweight,5
82.45403663,1.816538313,24.98749946,50,Female,Overweight,5
101.7133061,1.790696455,31.72004707,62,Female,Obese,6
99.60952716,1.969725632,25.67375577,57,Male,Overweight,5
99.04124818,1.85277777,28.85156942,46,Male,Obese,6
62.34733665,1.543259314,26.17821875,35,Female,Overweight,5
89.72590622,1.825479895,26.92549802,24,Male,Overweight,5
62.03876908,1.475992191,28.4770536,19,Female,Obese,6
67.67561247,1.536075421,28.681847,38,Female,Obese,6
107.9969223,1.945391442,28.53628126,34,Male,Obese,6
82.82628328,1.961906803,21.5184719,22,Male,Normal,4
70.47653237,1.434502995,34.24850424,65,Female,Severe Obese,7
73.34722538,1.846975337,21.50114051,46,Male,Normal,4
83.73327444,1.619256312,31.93499686,32,Female,Obese,6
81.76374638,1.674849421,29.14803267,55,Female,Obese,6
78.62034191,1.908509199,21.58471968,48,Male,Normal,4
107.5938459,1.755071327,34.92994398,37,Female,Severe Obese,7
92.79091692,1.823244974,27.91357208,35,Female,Obese,6
79.39268874,1.568532782,32.26957981,52,Female,Obese,6
79.17277465,1.768747111,25.30721636,27,Male,Overweight,5
90.94434371,1.781180629,28.66551616,23,Male,Obese,6
103.9980384,1.816384463,31.52169705,54,Female,Obese,6
70.92278162,1.667450657,25.50819792,44,Female,Overweight,5
95.54377863,1.682288501,33.75992399,42,Female,Severe Obese,7
93.46357429,1.714944219,31.77915817,40,Female,Obese,6
75.53521253,1.65907713,27.44203426,46,Female,Overweight,5
75.85228737,1.930448666,20.35411232,43,Male,Normal,4
90.16907158,1.728364392,30.18470789,49,Male,Obese,6
95.9933866,1.742054965,31.63134115,64,Male,Obese,6
85.85827471,1.90853916,23.57110848,41,Male,Overweight,5
97.39804516,1.945866432,25.72315223,27,Male,Overweight,5
69.95417071,1.463939207,32.64130609,41,Female,Severe Obese,7
106.7150373,1.796820539,33.05340567,52,Male,Severe Obese,7
55.68302491,1.47909257,25.45259745,45,Female,Overweight,5
65.54053725,1.564827996,26.76558761,54,Female,Overweight,5
83.51422702,1.618686983,31.87386416,38,Female,Obese,6
95.86073217,1.796111304,29.7148984,36,Female,Obese,6
71.56513974,1.50112821,31.75893647,61,Female,Obese,6
50.23352307,1.803427982,15.44528869,58,Male,Severe Thinness,1
63.52949118,1.827001938,19.03256673,41,Female,Normal,4
58.13286102,1.829761919,17.36331034,65,Female,Moderate Thinness,3
74.61466629,1.750529237,24.34924298,55,Male,Overweight,5
89.71598685,1.610488223,34.59033211,46,Female,Severe Obese,7
90.24667177,1.648706016,33.20050955,65,Female,Severe Obese,7
96.29567103,1.815337095,29.22080658,42,Male,Obese,6
63.04900538,1.627109073,23.81468855,27,Female,Overweight,5
75.13442246,1.610962039,28.95131795,56,Female,Obese,6
54.43046228,1.401962832,27.6929373,22,Female,Obese,6
67.96557741,1.799178375,20.99619347,29,Male,Normal,4
72.87722611,1.8142565,22.14085862,49,Male,Normal,4
100.4386578,1.797675795,31.07979594,32,Female,Obese,6
68.95487349,1.647120303,25.41641689,40,Female,Overweight,5
59.73373271,1.910820192,16.35987611,54,Male,Mild Thinness,2
86.127112,1.668091532,30.95281339,38,Female,Obese,6
57.9826502,1.542503495,24.36945117,65,Female,Overweight,5
69.6443804,1.948088477,18.35137982,48,Male,Moderate Thinness,3
59.56960815,1.402599153,30.28012048,43,Female,Obese,6
94.00141138,1.710190206,32.13997571,19,Female,Obese,6
58.58150874,1.396166368,30.05288767,63,Female,Obese,6
85.45909463,1.773105206,27.18249256,62,Male,Overweight,5
63.1969017,1.674269604,22.54472809,60,Female,Normal,4
65.7926542,1.846463074,19.29728243,27,Male,Normal,4
83.55031235,1.728137415,27.97638086,55,Male,Obese,6
53.2688779,1.97704788,13.6282212,65,Male,Severe Thinness,1
105.7346007,1.81796568,31.99232251,20,Female,Obese,6
88.82961783,1.64254082,32.9249748,58,Female,Severe Obese,7
66.38289305,1.591765687,26.19979532,63,Female,Overweight,5
90.77067112,1.812226486,27.63889013,56,Female,Obese,6
81.98351435,1.797633171,25.37022884,30,Female,Overweight,5
96.94983248,1.779204642,30.62635111,30,Female,Obese,6
60.31451426,1.464464853,28.12314775,65,Female,Obese,6
90.45969687,1.755515519,29.35254633,21,Male,Obese,6
74.66153087,1.768776058,23.86443673,64,Male,Overweight,5
69.27080234,1.560218124,28.45637535,64,Female,Obese,6
88.68304378,1.727818062,29.70602699,51,Male,Obese,6
64.7765248,1.565328744,26.43665626,64,Female,Overweight,5
101.3123963,1.821013581,30.55175892,48,Female,Obese,6
54.56528998,1.845019101,16.02930654,61,Male,Mild Thinness,2
78.32002015,1.843729925,23.03977222,51,Male,Overweight,5
97.75390087,1.814271764,29.69815117,60,Female,Obese,6
100.3141511,1.96047099,26.10005135,62,Male,Overweight,5
106.7964766,1.78953579,33.34848797,50,Female,Severe Obese,7
62.72819113,1.634488059,23.48006311,36,Female,Overweight,5
108.9615979,1.813730679,33.12286276,44,Female,Severe Obese,7
71.6584568,1.96262079,18.60350011,41,Male,Normal,4
53.05612728,1.774224345,16.8546011,64,Male,Mild Thinness,2
95.31702551,1.970015757,24.56015377,26,Male,Overweight,5
101.6180012,1.798837119,31.40414449,38,Female,Obese,6
91.93419368,1.693010459,32.07434446,64,Female,Obese,6
95.62469998,1.822643097,28.78503855,33,Female,Obese,6
50.8602608,1.883025799,14.34386015,62,Male,Severe Thinness,1
53.30093997,1.917194987,14.5011451,20,Male,Severe Thinness,1
83.95020903,1.737197876,27.81782703,57,Female,Obese,6
78.49331389,1.802542907,24.15802589,25,Male,Overweight,5
64.67991229,1.851982498,18.85800151,37,Male,Normal,4
69.85101592,1.616389316,26.7350367,42,Female,Overweight,5
58.70758438,1.665563444,21.16273776,21,Female,Normal,4
83.23653917,1.634835896,31.14337568,24,Female,Obese,6
107.4159742,1.775745845,34.06491089,55,Female,Severe Obese,7
82.24963517,1.536515913,34.83853272,37,Female,Severe Obese,7
90.27242755,1.644031398,33.39911093,47,Female,Severe Obese,7
51.47806723,1.713962052,17.52345866,29,Male,Moderate Thinness,3
93.41034359,1.968127089,24.11507915,23,Male,Overweight,5
105.4136856,1.735907329,34.98194272,34,Female,Severe Obese,7
78.512285,1.687032069,27.5861403,63,Female,Obese,6
97.30754561,1.764414963,31.2568389,30,Female,Obese,6
97.47846653,1.742340658,32.11016566,43,Female,Obese,6
66.81205156,1.701267328,23.08392657,42,Female,Overweight,5
91.73607063,1.735744518,30.44868414,42,Male,Obese,6
92.95632012,1.86257626,26.79481707,36,Male,Overweight,5
106.0074376,1.752710445,34.50769788,63,Female,Severe Obese,7
62.4665806,1.79915349,19.29795557,34,Male,Normal,4
52.38536628,1.864938275,15.06194509,31,Male,Severe Thinness,1
96.33433054,1.852698119,28.06543399,28,Male,Obese,6
106.9164726,1.791994679,33.29439982,34,Female,Severe Obese,7
95.00785655,1.900976895,26.29092361,26,Male,Overweight,5
51.78574149,1.935099356,13.82941031,35,Male,Severe Thinness,1
105.8934663,1.772080066,33.72115834,57,Male,Severe Obese,7
53.47297625,1.741531241,17.63079184,47,Female,Moderate Thinness,3
58.02542666,1.667868682,20.85905525,54,Female,Normal,4
66.09806553,1.793133492,20.55717838,29,Male,Normal,4
95.2721235,1.739594404,31.48254562,28,Female,Obese,6
51.69081359,1.722394456,17.42401073,37,Male,Moderate Thinness,3
109.5814644,1.86350998,31.5553974,21,Male,Obese,6
105.8757364,1.927500978,28.4975307,51,Male,Obese,6
66.11453211,1.895306496,18.40509344,28,Male,Moderate Thinness,3
99.02791202,1.804451372,30.41355985,55,Male,Obese,6
103.3613091,1.738031346,34.21706786,51,Female,Severe Obese,7
103.1234273,1.755417698,33.46542872,65,Male,Severe Obese,7
97.08357891,1.714506787,33.02686573,65,Female,Severe Obese,7
67.98750165,1.40697068,34.34464154,55,Female,Severe Obese,7
60.4930081,1.778894539,19.11634136,47,Male,Normal,4
94.9900894,1.915579414,25.88677649,27,Male,Overweight,5
105.5816072,1.805304061,32.39571359,19,Female,Obese,6
95.72631907,1.867232215,27.45583752,53,Male,Overweight,5
52.43905642,1.42627364,25.77799628,18,Female,Overweight,5
67.10467229,1.876819331,19.05056339,37,Male,Normal,4
104.9959196,1.858554899,30.39636377,49,Male,Obese,6
105.045749,1.819411725,31.73339254,48,Female,Obese,6
50.78862328,1.785835476,15.92515062,46,Male,Severe Thinness,1
83.63601346,1.820291016,25.24129734,25,Female,Overweight,5
83.52859831,1.935999968,22.28560876,42,Male,Normal,4
109.0372712,1.933531333,29.16570949,37,Male,Obese,6
65.60229542,1.933772144,17.54318469,43,Male,Moderate Thinness,3
53.98666637,1.904013867,14.8917692,54,Male,Severe Thinness,1
70.66644643,1.9285212,19.00047324,64,Male,Normal,4
91.00156525,1.820250057,27.46545232,38,Male,Overweight,5
64.80628758,1.655853952,23.63595126,26,Female,Overweight,5
59.63238092,1.822203872,17.95925097,54,Male,Moderate Thinness,3
65.44790068,1.494560395,29.30007832,18,Female,Obese,6
60.98219518,1.936653032,16.25920899,55,Male,Mild Thinness,2
57.24066826,1.778929704,18.08785723,54,Male,Moderate Thinness,3
94.42330404,1.835574228,28.02433336,28,Male,Obese,6
88.88368078,1.744276838,29.214012,34,Female,Obese,6
