name,serving_size,serving_unit,calories,protein,carbs,fat,food_group
apple,1.0,"medium (3"" dia)",94.64,0.47,25.13,0.31,Fruits
banana,1.0,"medium (7"" to 7-7/8"" long)",105.02,1.29,26.95,0.39,Fruits
orange,1.0,"fruit (2-7/8"" dia)",68.6,1.27,17.56,0.21,Fruits
grapefruit,0.5,"fruit (3-3/4"" dia)",51.66,0.95,13.11,0.17,Fruits
strawberries,5.0,large,28.8,0.6,6.91,0.27,Fruits
blueberries,1.0,berry,0.78,0.01,0.2,0.0,Fruits
raspberries,1.0,raspberry,1.04,0.02,0.24,0.01,Fruits
mango,1.0,fruit without refuse,201.6,2.76,50.33,1.28,Fruits
pineapple,0.5,"cup, chunks",41.25,0.45,10.82,0.1,Fruits
avocado,1.0,"avocado, NS as to Florida or California",321.6,4.02,17.15,29.47,Fruits
kiwi,1.0,"fruit (2"" dia)",42.09,0.79,10.12,0.36,Fruits
watermelon,1.0,wedge (approx 1/16 of melon),85.8,1.74,21.59,0.43,Fruits
peach,1.0,"large (2-3/4"" dia)",68.25,1.59,16.7,0.44,Fruits
pear,1.0,medium,101.46,0.64,27.11,0.25,Fruits
plum,1.0,"fruit (2-1/8"" dia)",30.36,0.46,7.54,0.18,Fruits
cherries,1.0,cherry,5.17,0.09,1.31,0.02,Fruits
grapes,10.0,grapes,33.81,0.35,8.87,0.08,Fruits
lemon,1.0,"fruit (2-3/8"" dia)",24.36,0.92,7.83,0.25,Fruits
lime,1.0,lime,20.1,0.47,7.06,0.13,Fruits
pomegranate,1.0,"pomegranate (4"" dia)",234.06,4.71,52.73,3.3,Fruits
figs,1.0,"medium (2-1/4"" dia)",37.0,0.38,9.59,0.15,Fruits
dates,1.0,"date, pitted",20.02,0.17,5.33,0.03,Fruits
prunes,1.0,"prune, pitted",22.8,0.21,6.07,0.04,Fruits
raisins,1.0,small box (1.5 oz),128.57,1.32,34.05,0.2,Fruits
apricots,1.0,apricot,16.8,0.49,3.89,0.14,Fruits
