name,calories,protein,carbs,fat,food_group
apple,52.0,0.26,13.81,0.17,Fruits
banana,89.0,1.09,22.84,0.33,Fruits
orange,49.0,0.91,12.54,0.15,Fruits
grapefruit,42.0,0.77,10.66,0.14,Fruits
strawberries,32.0,0.67,7.68,0.3,Fruits
blueberries,57.0,0.74,14.49,0.33,Fruits
raspberries,52.0,1.2,11.94,0.65,Fruits
mango,60.0,0.82,14.98,0.38,Fruits
pineapple,50.0,0.54,13.12,0.12,Fruits
avocado,160.0,2.0,8.53,14.66,Fruits
kiwi,61.0,1.14,14.66,0.52,Fruits
watermelon,30.0,0.61,7.55,0.15,Fruits
peach,39.0,0.91,9.54,0.25,Fruits
pear,57.0,0.36,15.23,0.14,Fruits
plum,46.0,0.7,11.42,0.28,Fruits
cherries,63.0,1.06,16.01,0.2,Fruits
grapes,69.0,0.72,18.1,0.16,Fruits
lemon,29.0,1.1,9.32,0.3,Fruits
lime,30.0,0.7,10.54,0.2,Fruits
pomegranate,83.0,1.67,18.7,1.17,Fruits
figs,74.0,0.75,19.18,0.3,Fruits
dates,282.0,2.45,75.03,0.39,Fruits
prunes,240.0,2.18,63.88,0.38,Fruits
raisins,299.0,3.07,79.18,0.46,Fruits
apricots,48.0,1.4,11.12,0.39,Fruits
cranberries,46.0,0.46,11.97,0.13,Fruits
blackberries,43.0,1.39,9.61,0.49,Fruits
cantaloupe,34.0,0.84,8.16,0.19,Fruits
honeydew melon,36.0,0.54,9.09,0.14,Fruits
coconut,456.0,3.13,51.85,27.99,Fruits
guava,68.0,2.55,14.32,0.95,Fruits
passion fruit,97.0,2.2,23.38,0.7,Fruits
papaya,43.0,0.47,10.82,0.26,Fruits
lychee,66.0,0.83,16.53,0.44,Fruits
dragon fruit,61.0,1.14,14.66,0.52,Fruits
star fruit,31.0,1.04,6.73,0.33,Fruits
persimmon,70.0,0.58,18.59,0.19,Fruits
tangerine,53.0,0.81,13.34,0.31,Fruits
clementine,47.0,0.85,12.02,0.15,Fruits
kiwano,44.0,1.78,7.56,1.26,Fruits
plantain,116.0,0.79,31.15,0.18,Fruits
pomelo,38.0,0.76,9.62,0.04,Fruits
acai,75.4,1.06,5.38,6.26,Fruits
goji berries,349.0,14.26,77.06,0.39,Fruits
elderberries,73.0,0.66,18.4,0.5,Fruits
mulberries,43.0,1.44,9.8,0.39,Fruits
boysenberries,50.0,1.1,12.19,0.26,Fruits
currants,283.0,4.08,74.08,0.27,Fruits
cherimoya,75.0,1.57,17.71,0.68,Fruits
longan,60.0,1.31,15.14,0.1,Fruits
rambutan,66.0,0.83,16.53,0.44,Fruits
durian,147.0,1.47,27.09,5.33,Fruits
jackfruit,95.0,1.72,23.25,0.64,Fruits
breadfruit,103.0,1.07,27.12,0.23,Fruits
sapodilla,83.0,0.44,19.96,1.1,Fruits
soursop,66.0,1.0,16.84,0.3,Fruits
kumquat,71.0,1.88,15.9,0.86,Fruits
quince,57.0,0.4,15.3,0.1,Fruits
loquat,47.0,0.43,12.14,0.2,Fruits
feijoa,61.0,0.71,15.21,0.42,Fruits
broccoli,35.0,2.38,7.18,0.41,Vegetables
spinach,23.0,2.97,3.75,0.26,Vegetables
kale,28.0,1.9,5.63,0.4,Vegetables
carrots,35.0,0.76,8.22,0.18,Vegetables
