Weight,Height,BMI,Age,Gender,BMIcase,ActivityLevel,Goal,calories,protein,carbs,fat,bmr
92.0851902,1.760249514,29.71948799,59,Female,Obese,Moderately Active,Loss Weight,1941,146,194,65,1565.0078482500003
61.08912444,1.595498708,23.99777555,25,Female,Overweight,Moderately Active,Loss Weight,1639,123,164,55,1322.0779369000002
82.45403663,1.816538313,24.98749946,50,Female,Overweight,Lightly Active,Stay Fit,2130,133,266,59,1548.8768119249999
101.7133061,1.790696455,31.72004707,62,Female,Obese,Active,Loss Weight,2298,172,230,77,1665.3183453749998
99.60952716,1.969725632,25.67375577,57,Male,Overweight,Sedentary,Stay Fit,2337,146,292,65,1947.1737916000002
99.04124818,1.85277777,28.85156942,46,Male,Obese,Moderately Active,Stay Fit,2981,186,373,83,1923.3985880500004
62.34733665,1.543259314,26.17821875,35,Female,Overweight,Moderately Active,Stay Fit,1941,121,243,54,1252.0104377500002
89.72590622,1.825479895,26.92549802,24,Male,Overweight,Very Active,Loss Weight,2923,219,292,97,1923.183996575
62.03876908,1.475992191,28.4770536,19,Female,Obese,Moderately Active,Loss Weight,1596,120,160,53,1286.882810175
67.67561247,1.536075421,28.681847,38,Female,Obese,Active,Loss Weight,1774,133,177,59,1285.8032628250003
107.9969223,1.945391442,28.53628126,34,Male,Obese,Lightly Active,Muscle Gain,3516,308,396,78,2130.83887425
82.82628328,1.961906803,21.5184719,22,Male,Normal,Sedentary,Stay Fit,2339,146,292,65,1949.4545846749998
70.47653237,1.434502995,34.24850424,65,Female,Severe Obese,Active,Loss Weight,1539,115,154,51,1115.329695575
73.34722538,1.846975337,21.50114051,46,Male,Normal,Lightly Active,Stay Fit,2286,143,286,64,1662.831839425
83.73327444,1.619256312,31.93499686,32,Female,Obese,Lightly Active,Loss Weight,1681,126,168,56,1528.3679394
81.76374638,1.674849421,29.14803267,55,Female,Obese,Lightly Active,Stay Fit,1964,123,246,55,1428.418351925
78.62034191,1.908509199,21.58471968,48,Male,Normal,Sedentary,Muscle Gain,2511,220,282,56,1744.0216684749998
107.5938459,1.755071327,34.92994398,37,Female,Severe Obese,Moderately Active,Loss Weight,2265,170,226,76,1826.858038375
92.79091692,1.823244974,27.91357208,35,Female,Obese,Sedentary,Loss Weight,1662,125,166,55,1731.43727795
79.39268874,1.568532782,32.26957981,52,Female,Obese,Lightly Active,Loss Weight,1489,112,149,50,1353.2598761499999
79.17277465,1.768747111,25.30721636,27,Male,Overweight,Sedentary,Stay Fit,2121,133,265,59,1767.1946908749999
90.94434371,1.781180629,28.66551616,23,Male,Obese,Sedentary,Loss Weight,1836,138,184,61,1912.681330225
103.9980384,1.816384463,31.52169705,54,Female,Obese,Sedentary,Stay Fit,2093,131,262,58,1744.220673375
70.92278162,1.667450657,25.50819792,44,Female,Overweight,Sedentary,Loss Weight,1316,99,132,44,1370.384476825
95.54377863,1.682288501,33.75992399,42,Female,Severe Obese,Moderately Active,Stay Fit,2536,158,317,70,1635.8680994249999
93.46357429,1.714944219,31.77915817,40,Female,Obese,Sedentary,Loss Weight,1580,118,158,53,1645.4758797749998
75.53521253,1.65907713,27.44203426,46,Female,Overweight,Moderately Active,Stay Fit,2172,136,272,60,1401.27533155
75.85228737,1.930448666,20.35411232,43,Male,Normal,Active,Stay Fit,3027,189,378,84,1755.0532899500001
90.16907158,1.728364392,30.18470789,49,Male,Obese,Sedentary,Loss Weight,1672,125,167,56,1741.9184607999998
95.9933866,1.742054965,31.63134115,64,Male,Obese,Sedentary,Loss Weight,1664,125,166,55,1733.718219125
85.85827471,1.90853916,23.57110848,41,Male,Overweight,Moderately Active,Muscle Gain,3444,301,387,77,1851.4197221
97.39804516,1.945866432,25.72315223,27,Male,Overweight,Very Active,Loss Weight,3131,235,313,104,2060.1469716
69.95417071,1.463939207,32.64130609,41,Female,Severe Obese,Sedentary,Loss Weight,1199,90,120,40,1248.5037114749998
106.7150373,1.796820539,33.05340567,52,Male,Severe Obese,Sedentary,Loss Weight,1858,139,186,62,1935.1632098749997
55.68302491,1.47909257,25.45259745,45,Female,Overweight,Sedentary,Stay Fit,1314,82,164,36,1095.26310535
65.54053725,1.564827996,26.76558761,54,Female,Overweight,Lightly Active,Muscle Gain,1984,174,223,44,1202.4228699999999
83.51422702,1.618686983,31.87386416,38,Female,Obese,Active,Loss Weight,2064,155,206,69,1495.8216345750002
95.86073217,1.796111304,29.7148984,36,Female,Obese,Lightly Active,Stay Fit,2393,150,299,66,1740.1768867
71.56513974,1.50112821,31.75893647,61,Female,Obese,Lightly Active,Muscle Gain,1960,172,220,44,1187.8565286500002
